RNN2_kl_ml	0	0.542106	0.989937	0.541757	0.989597	303.796	
RNN2_kl_ml	12754	0.26213	0.599095	0.261182	0.596742	1245.25	
RNN2_kl_ml	25508	0.242901	0.548523	0.242225	0.546176	2187.08	
RNN2_kl_ml	38262	0.231901	0.52022	0.230969	0.517362	3128.62	
RNN2_kl_ml	51016	0.22295	0.49779	0.222199	0.495188	4071	
RNN2_kl_ml	63770	0.20769	0.463242	0.207421	0.461969	5013.39	
RNN2_kl_ml	76524	0.197367	0.439715	0.197723	0.439242	5955.65	
RNN2_kl_ml	89278	0.190588	0.424112	0.191345	0.424735	6898.91	
RNN2_kl_ml	102032	0.186173	0.413701	0.187187	0.41472	7839.69	
RNN2_kl_ml	114786	0.183373	0.407603	0.184554	0.409167	8781.95	
RNN2_kl_ml	127540	0.181735	0.404065	0.183018	0.406066	9722.94	
RNN2_kl_rl	0	0.05983	0.975382	0.0597889	0.975513	302.242	
RNN2_kl_rl	12754	0.0334342	0.643085	0.0333933	0.642032	1245.96	
RNN2_kl_rl	25508	0.0333859	0.641543	0.0333435	0.640315	2189.34	
RNN2_kl_rl	38262	0.0333648	0.640856	0.0333221	0.639732	3136.16	
RNN2_kl_rl	51016	0.0331649	0.638593	0.0331183	0.637277	4081.06	
RNN2_kl_rl	63770	0.0330056	0.636672	0.0329622	0.635368	5024.57	
RNN2_kl_rl	76524	0.0328519	0.63349	0.0328083	0.632125	5969.18	
RNN2_kl_rl	89278	0.032717	0.630433	0.0326733	0.629034	6911.24	
RNN2_kl_rl	102032	0.0326403	0.628439	0.0325968	0.627295	7853.21	
RNN2_kl_rl	114786	0.0326022	0.627403	0.0325589	0.626096	8796.76	
RNN2_kl_rl	127540	0.0325836	0.626907	0.0325404	0.625608	9743.9	
RNN2_base	0	5.61856	0.981814	5.61857	0.981637	294.827	
RNN2_base	12754	1.96939	0.405118	1.99013	0.406624	1217.33	
RNN2_base	25508	1.84337	0.383053	1.88074	0.387317	2137.91	
RNN2_base	38262	1.80402	0.374732	1.84863	0.379372	3059.77	
RNN2_base	51016	1.77806	0.370666	1.82881	0.37705	3981.38	
RNN2_base	63770	1.60203	0.342231	1.67183	0.351496	4903.64	
RNN2_base	76524	1.50329	0.323584	1.59483	0.337545	5825.01	
RNN2_base	89278	1.44705	0.31204	1.55422	0.328841	6746.84	
RNN2_base	102032	1.41375	0.304669	1.53164	0.324457	7669.83	
RNN2_base	114786	1.39516	0.300423	1.51951	0.321572	8592.2	
RNN2_base	127540	1.38568	0.298178	1.51345	0.32019	9513.66	
