cp_cp_f-gd	0	126688	4449	8797	8.13319	
cp_cp_f-gd	550	3853.22	103	197	33.7705	
cp_cp_f-gd	1100	2869.32	79	172	59.294	
cp_cp_f-gd	1650	2215.73	65	140	84.7785	
cp_cp_f-gd	2200	1715.32	64	111	110.303	
cp_cp_f-gd	2750	1773.23	71	128	135.848	
cp_cp_f-gd	3300	1471.07	58	112	161.37	
cp_cp_f-gd	3850	1378.9	60	105	186.89	
cp_cp_f-gd	4400	984.185	49	91	212.376	
cp_cp_f-gd	4950	1205.3	54	116	237.911	
cp_cp_f-gd	5500	954.831	52	106	263.416	
cp_cp_f-gd	6050	759.133	51	102	288.935	
cp_cp_f-gd	6600	595.583	48	97	314.458	
cp_cp_f-gd	7150	638.432	48	87	339.956	
cp_cp_f-gd	7700	618.705	51	102	365.44	
cp_cp_f-gd	8250	474.248	45	87	390.965	
cp_cp_f-gd	8800	438.186	50	86	416.468	
cp_cp_f-gd	9350	440.926	45	91	441.978	
cp_cp_f-gd	9900	315.235	46	84	467.485	
cp_cp_f-gd	10450	340.366	43	78	492.964	
cp_cp_f-gd	11000	287.574	45	82	518.469	
cp_cp_f-mom	0	128817	4291	8447	7.71896	
cp_cp_f-mom	550	3914.97	105	193	33.262	
cp_cp_f-mom	1100	3232.16	98	175	58.8119	
cp_cp_f-mom	1650	2352.34	73	145	84.3687	
cp_cp_f-mom	2200	1487.85	57	108	109.892	
cp_cp_f-mom	2750	1386.11	57	106	135.454	
cp_cp_f-mom	3300	1165.21	54	109	160.998	
cp_cp_f-mom	3850	1054.39	63	95	186.553	
cp_cp_f-mom	4400	945.422	53	102	212.106	
cp_cp_f-mom	4950	782.492	51	87	237.645	
cp_cp_f-mom	5500	731.647	46	84	263.166	
cp_cp_f-mom	6050	939.673	65	114	288.733	
cp_cp_f-mom	6600	617.159	54	87	314.274	
cp_cp_f-mom	7150	538.734	47	95	339.822	
cp_cp_f-mom	7700	476.767	51	94	365.366	
cp_cp_f-mom	8250	418.738	50	91	390.9	
cp_cp_f-mom	8800	328.078	47	88	416.449	
cp_cp_f-mom	9350	265.314	49	85	441.999	
cp_cp_f-mom	9900	344.36	55	90	467.559	
cp_cp_f-mom	10450	216.357	45	74	493.122	
cp_cp_f-mom	11000	223.267	51	88	518.655	
cp_cp_f-rms	0	128474	4510	8968	7.71008	
cp_cp_f-rms	550	6115.63	153	311	33.3415	
cp_cp_f-rms	1100	3644.93	105	187	58.9744	
cp_cp_f-rms	1650	2478.11	72	135	84.5969	
cp_cp_f-rms	2200	2452.72	76	154	110.226	
cp_cp_f-rms	2750	2123.99	73	134	135.837	
cp_cp_f-rms	3300	1666.24	59	109	161.457	
cp_cp_f-rms	3850	1332.4	52	89	187.074	
cp_cp_f-rms	4400	1296.64	57	96	212.699	
cp_cp_f-rms	4950	969.868	47	83	238.328	
cp_cp_f-rms	5500	933.25	52	83	263.941	
cp_cp_f-rms	6050	909.429	48	100	289.539	
cp_cp_f-rms	6600	730.57	47	81	315.176	
cp_cp_f-rms	7150	739.153	56	94	340.79	
cp_cp_f-rms	7700	595.694	52	73	366.422	
cp_cp_f-rms	8250	480.504	44	72	392.046	
cp_cp_f-rms	8800	458.87	48	84	417.641	
cp_cp_f-rms	9350	394.061	45	73	443.266	
cp_cp_f-rms	9900	425.485	47	93	468.891	
cp_cp_f-rms	10450	319.247	43	81	494.513	
cp_cp_f-rms	11000	349.576	53	85	520.15	
cp_cp_f-alt	0	130534	4515	9010	7.71306	
cp_cp_f-alt	550	2707.49	83	161	33.3539	
cp_cp_f-alt	1100	1527.72	61	109	59.0093	
cp_cp_f-alt	1650	1380.58	64	99	84.65	
cp_cp_f-alt	2200	1053.9	51	86	110.31	
cp_cp_f-alt	2750	791.477	47	90	135.975	
cp_cp_f-alt	3300	635.694	51	97	161.617	
cp_cp_f-alt	3850	926.696	62	100	187.263	
cp_cp_f-alt	4400	323.671	43	82	212.924	
cp_cp_f-alt	4950	278.777	42	81	238.579	
cp_cp_f-alt	5500	560.026	62	104	264.241	
cp_cp_f-alt	6050	306.719	49	87	289.888	
cp_cp_f-alt	6600	244.054	52	84	315.517	
cp_cp_f-alt	7150	100.902	41	79	341.185	
cp_cp_f-alt	7700	465.449	57	91	366.83	
cp_cp_f-alt	8250	145.285	45	77	392.484	
cp_cp_f-alt	8800	82.2476	41	65	418.139	
cp_cp_f-alt	9350	169.847	47	75	443.766	
cp_cp_f-alt	9900	165.943	45	82	469.418	
cp_cp_f-alt	10450	141.434	46	80	495.078	
cp_cp_f-alt	11000	93.3554	44	72	520.732	
