RNN2_clip_relu_kl_ml	0	5.60656	0.996855	5.60694	0.99717	5.60674	0.997022	322.505	
RNN2_clip_relu_kl_ml	12754	4.62361	0.352713	4.62977	0.358293	4.62102	0.350623	1272.35	
RNN2_clip_relu_kl_ml	25508	4.60488	0.335478	4.61367	0.342653	4.60527	0.335974	2221.66	
RNN2_clip_relu_kl_ml	38262	4.59839	0.326936	4.60814	0.335363	4.60062	0.329626	3172.31	
RNN2_clip_relu_kl_ml	51016	4.58408	0.320039	4.59606	0.330433	4.58794	0.323886	4122.76	
RNN2_clip_relu_kl_ml	63770	4.57257	0.304221	4.5881	0.318463	4.58031	0.311768	5072.65	
RNN2_clip_relu_kl_ml	76524	4.5616	0.293083	4.58061	0.310866	4.57283	0.30427	6022.13	
RNN2_clip_relu_kl_ml	89278	4.55567	0.286214	4.57712	0.306184	4.56936	0.299722	6972.74	
RNN2_clip_relu_kl_ml	102032	4.55308	0.281747	4.57608	0.303521	4.56839	0.297367	7922.79	
RNN2_clip_relu_kl_ml	114786	4.55079	0.279087	4.57482	0.302172	4.56712	0.295634	8872.88	
RNN2_clip_relu_kl_ml	127540	4.54905	0.277618	4.57366	0.301044	4.56593	0.29496	9822.44	
RNN2_clip_relu_base_loss	0	5.64408	0.943097	5.64411	0.942077	5.64405	0.943959	320.287	
RNN2_clip_relu_base_loss	12754	1.64214	0.353967	1.67644	0.359117	1.63289	0.352447	1259.11	
RNN2_clip_relu_base_loss	25508	1.5355	0.333845	1.58699	0.341096	1.54507	0.335229	2199.44	
RNN2_clip_relu_base_loss	38262	1.4918	0.325278	1.55349	0.33502	1.51076	0.328323	3141.3	
RNN2_clip_relu_base_loss	51016	1.46448	0.319844	1.53759	0.331139	1.4975	0.324615	4081.4	
RNN2_clip_relu_base_loss	63770	1.36996	0.300432	1.47566	0.316957	1.43181	0.310745	5020.12	
RNN2_clip_relu_base_loss	76524	1.31085	0.287676	1.44476	0.309812	1.39991	0.303247	5959.34	
RNN2_clip_relu_base_loss	89278	1.27335	0.27904	1.43038	0.305581	1.38439	0.299021	6898.61	
RNN2_clip_relu_base_loss	102032	1.25023	0.273611	1.42105	0.302915	1.3753	0.296466	7838.33	
RNN2_clip_relu_base_loss	114786	1.23638	0.270489	1.41598	0.301909	1.37057	0.295033	8776.97	
RNN2_clip_relu_base_loss	127540	1.22851	0.268558	1.41336	0.301016	1.36829	0.294359	9715.86	
